-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual - https://power.larc.nasa.gov/data-access-viewer/
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1984,-30.5,17.5,8.123,7.3853,5.9599,4.8869,3.7493,3.2892,3.3718,4.3368,5.3698,6.3334,7.9138,7.9145,5.7142
ALLSKY_SFC_SW_DWN,1984,-30.5,18.5,8.6299,7.829,6.1654,4.9195,3.7584,3.3571,3.2942,4.3202,5.6942,6.5897,8.0938,8.3148,5.9078
ALLSKY_SFC_SW_DWN,1984,-30.5,19.5,8.9198,8.095,6.1838,4.9387,3.8268,3.4325,3.5129,4.5787,5.8526,6.6838,8.4007,8.6962,6.0874
ALLSKY_SFC_SW_DWN,1984,-30.5,20.5,8.9455,8.1038,6.0185,4.9565,3.9094,3.4901,3.6574,4.5564,5.9086,6.6766,8.3626,8.8918,6.1171
ALLSKY_SFC_SW_DWN,1984,-30.5,21.5,8.6683,8.0448,5.9674,5.0856,3.9598,3.4896,3.6485,4.5509,5.9498,6.9466,8.4026,9.006,6.1375
ALLSKY_SFC_SW_DWN,1984,-30.5,22.5,8.7223,7.8581,5.9006,5.0712,3.9139,3.5544,3.666,4.3968,6.0254,6.8381,8.3098,8.8212,6.084
ALLSKY_SFC_SW_DWN,1984,-30.5,23.5,8.7811,7.8065,5.6928,5.0933,3.9173,3.552,3.7138,4.3493,5.9645,6.6898,8.4379,8.9393,6.0722
ALLSKY_SFC_SW_DWN,1984,-31.5,17.5,8.0638,7.1971,5.7905,4.6795,3.276,2.9738,3.2134,3.9742,4.9505,6.0828,8.0789,8.0321,5.5207
ALLSKY_SFC_SW_DWN,1984,-31.5,18.5,8.1994,7.4376,5.9153,4.704,3.3094,3.0036,3.096,3.9389,5.2265,6.3307,8.035,8.0167,5.5949
ALLSKY_SFC_SW_DWN,1984,-31.5,19.5,8.7907,7.9385,6.1042,4.7878,3.4344,3.216,3.397,4.3891,5.441,6.6331,8.3599,8.597,5.9182
ALLSKY_SFC_SW_DWN,1984,-31.5,20.5,8.9023,8.0503,6.1087,4.793,3.6516,3.3007,3.5546,4.5713,5.7941,6.6768,8.4079,8.7646,6.0422
ALLSKY_SFC_SW_DWN,1984,-31.5,21.5,8.8498,7.9706,6.0634,4.9471,3.744,3.3065,3.5388,4.5967,5.8601,6.9934,8.5253,8.7533,6.0902
ALLSKY_SFC_SW_DWN,1984,-31.5,22.5,8.6798,7.9063,5.9534,5.0278,3.7927,3.3463,3.5606,4.5744,5.8891,6.8489,8.2018,8.7902,6.0422
ALLSKY_SFC_SW_DWN,1984,-31.5,23.5,8.6333,7.8893,5.8541,4.9044,3.6991,3.3785,3.6029,4.4494,5.9731,6.7176,8.4017,8.6736,6.0084
ALLSKY_SFC_SW_DWN,1984,-32.5,17.5,8.2872,7.2262,5.8615,4.5926,2.97,2.7552,3.041,3.9175,4.9373,6.085,8.1377,8.0705,5.485
ALLSKY_SFC_SW_DWN,1984,-32.5,18.5,8.1622,7.3142,5.8262,4.5962,2.9374,2.7958,2.9486,3.8902,5.0966,6.1512,8.0666,8.0026,5.4761
ALLSKY_SFC_SW_DWN,1984,-32.5,19.5,8.7679,7.8619,6.1198,4.7969,3.1282,2.959,3.1879,4.1568,5.179,6.5506,8.2886,8.4254,5.779
ALLSKY_SFC_SW_DWN,1984,-32.5,20.5,8.8106,7.9418,6.113,4.7141,3.2534,3.0612,3.2914,4.3567,5.4271,6.721,8.3628,8.4643,5.8704
ALLSKY_SFC_SW_DWN,1984,-32.5,21.5,8.6347,7.925,6.0074,4.7153,3.4301,3.0866,3.301,4.4726,5.6362,6.7099,8.2562,8.7077,5.9011
ALLSKY_SFC_SW_DWN,1984,-32.5,22.5,8.5092,7.8031,5.8723,4.5936,3.4762,3.0444,3.2774,4.4551,5.531,6.5957,8.063,8.6011,5.8133
ALLSKY_SFC_SW_DWN,1984,-32.5,23.5,8.4434,7.6802,5.7374,4.5919,3.4728,3.0514,3.305,4.3222,5.5464,6.5381,8.0534,8.4607,5.7614
ALLSKY_SFC_SW_DWN,1984,-33.5,17.5,8.0729,7.0699,5.597,4.3166,2.8546,2.5162,2.8644,3.7006,4.6968,6.1265,7.9819,8.0014,5.3117
ALLSKY_SFC_SW_DWN,1984,-33.5,18.5,8.179,7.1926,5.6825,4.4076,2.7398,2.6561,2.8253,3.7594,4.8106,6.2105,8.1175,7.8746,5.3654
ALLSKY_SFC_SW_DWN,1984,-33.5,19.5,8.4782,7.4138,5.8092,4.4383,2.7799,2.7228,2.9062,3.9504,4.8338,6.282,8.112,7.9639,5.4684
ALLSKY_SFC_SW_DWN,1984,-33.5,20.5,8.4574,7.53,5.8054,4.5197,3.0449,2.8099,2.9753,4.2048,5.1367,6.4586,8.0189,8.1533,5.5874
ALLSKY_SFC_SW_DWN,1984,-33.5,21.5,8.2147,7.337,5.6755,4.4136,3.0775,2.8399,2.9642,4.163,5.1938,6.4222,7.901,8.0354,5.5147
ALLSKY_SFC_SW_DWN,1984,-33.5,22.5,7.9274,7.2958,5.5313,4.3109,3.0456,2.7809,2.9227,4.1474,5.1722,6.222,7.819,7.8569,5.4134
ALLSKY_SFC_SW_DWN,1984,-33.5,23.5,7.7326,7.0262,5.3453,4.2797,3.0722,2.755,2.9918,4.0906,5.3086,6.3223,7.7501,7.8972,5.3758
ALLSKY_SFC_SW_DWN,1984,-34.5,17.5,7.8845,6.5458,5.5891,4.206,2.6542,2.3815,2.6887,3.3926,4.559,6.077,7.739,7.4143,5.0904
ALLSKY_SFC_SW_DWN,1984,-34.5,18.5,7.9404,6.8484,5.4077,4.2242,2.6102,2.3532,2.5733,3.493,4.5271,6.1363,7.7918,7.4707,5.1096
ALLSKY_SFC_SW_DWN,1984,-34.5,19.5,7.86,6.4301,5.2529,4.1184,2.5855,2.4317,2.5044,3.5974,4.5828,6.0293,7.2852,7.4285,5.0054
ALLSKY_SFC_SW_DWN,1984,-34.5,20.5,7.6958,6.4738,5.1914,4.1004,2.6794,2.473,2.543,3.655,4.6877,5.8759,7.1602,7.3454,4.9862
ALLSKY_SFC_SW_DWN,1984,-34.5,21.5,7.2218,6.4301,4.9567,3.978,2.7041,2.4074,2.3796,3.4277,4.59,5.6474,7.0505,7.2026,4.8278
